time,pedestrians,bicyclists,cars,buses,trucks
2019-10-01T00:00:00-04:00,7,0,176,11,3
2019-10-01T01:00:00-04:00,1,0,118,4,0
2019-10-01T02:00:00-04:00,10,0,56,0,2
2019-10-01T03:00:00-04:00,0,0,58,0,0
2019-10-01T04:00:00-04:00,2,0,52,0,3
2019-10-01T05:00:00-04:00,4,0,145,5,5
2019-10-01T06:00:00-04:00,13,0,404,26,20
2019-10-01T07:00:00-04:00,93,8,1299,88,98
2019-10-01T08:00:00-04:00,66,4,1821,88,112
2019-10-01T09:00:00-04:00,190,36,1516,123,194
2019-10-01T10:00:00-04:00,160,56,923,90,106
2019-10-01T11:00:00-04:00,80,8,675,54,48
2019-10-01T12:00:00-04:00,184,68,944,68,77
2019-10-01T13:00:00-04:00,186,72,939,66,88
2019-10-01T14:00:00-04:00,87,15,829,65,77
2019-10-01T15:00:00-04:00,208,72,1150,64,88
2019-10-01T16:00:00-04:00,116,40,1367,62,79
2019-10-01T17:00:00-04:00,143,28,1955,94,76
2019-10-01T18:00:00-04:00,148,69,1634,87,51
2019-10-01T19:00:00-04:00,35,1,983,35,14
2019-10-01T20:00:00-04:00,16,1,771,17,9
2019-10-01T21:00:00-04:00,11,0,657,24,10
2019-10-01T22:00:00-04:00,8,0,441,19,5
2019-10-01T23:00:00-04:00,3,0,329,13,7
2019-10-02T00:00:00-04:00,6,0,199,6,3
2019-10-02T01:00:00-04:00,2,0,114,1,1
2019-10-02T02:00:00-04:00,5,0,72,1,2
2019-10-02T03:00:00-04:00,0,0,63,0,0
2019-10-02T04:00:00-04:00,1,0,59,2,1
2019-10-02T05:00:00-04:00,3,0,165,4,2
2019-10-02T06:00:00-04:00,8,2,405,22,22
2019-10-02T07:00:00-04:00,127,11,1273,81,96
2019-10-02T08:00:00-04:00,150,25,1653,97,123
2019-10-02T09:00:00-04:00,100,28,1425,111,103
2019-10-02T10:00:00-04:00,152,41,956,81,102
2019-10-02T11:00:00-04:00,320,60,848,61,94
2019-10-02T12:00:00-04:00,204,59,947,64,81
2019-10-02T13:00:00-04:00,222,71,943,50,67
2019-10-02T14:00:00-04:00,226,61,990,70,86
2019-10-02T15:00:00-04:00,150,56,1087,51,78
2019-10-02T16:00:00-04:00,143,63,1606,79,70
2019-10-02T17:00:00-04:00,145,25,1710,85,60
2019-10-02T18:00:00-04:00,137,30,1806,74,44
2019-10-02T19:00:00-04:00,27,2,1070,44,12
2019-10-02T20:00:00-04:00,8,0,776,22,8
2019-10-02T21:00:00-04:00,12,0,731,14,7
2019-10-02T22:00:00-04:00,10,0,468,25,3
2019-10-02T23:00:00-04:00,12,0,371,17,1
2019-10-03T00:00:00-04:00,10,0,235,5,2
2019-10-03T01:00:00-04:00,4,0,120,6,4
2019-10-03T02:00:00-04:00,5,0,61,3,4
2019-10-03T03:00:00-04:00,0,0,90,1,1
2019-10-03T04:00:00-04:00,0,0,60,0,3
2019-10-03T05:00:00-04:00,2,0,175,6,2
2019-10-03T06:00:00-04:00,6,1,381,27,22
2019-10-03T07:00:00-04:00,56,10,1262,76,70
2019-10-03T08:00:00-04:00,97,19,1659,86,75
2019-10-03T09:00:00-04:00,258,42,1445,105,117
2019-10-03T10:00:00-04:00,320,99,1171,100,143
2019-10-03T11:00:00-04:00,163,33,983,73,131
2019-10-03T12:00:00-04:00,393,120,1145,66,96
2019-10-03T13:00:00-04:00,335,94,1080,61,106
2019-10-03T14:00:00-04:00,194,57,1105,69,89
2019-10-03T15:00:00-04:00,406,78,1382,85,114
2019-10-03T16:00:00-04:00,279,86,1644,75,70
2019-10-03T17:00:00-04:00,186,43,1831,93,70
2019-10-03T18:00:00-04:00,6,1,102,7,4
2019-10-03T19:00:00-04:00,73,3,1182,37,10
2019-10-03T20:00:00-04:00,30,0,920,27,11
2019-10-03T21:00:00-04:00,26,1,633,19,6
2019-10-03T22:00:00-04:00,20,0,544,24,7
2019-10-03T23:00:00-04:00,7,0,328,15,5
2019-10-04T00:00:00-04:00,8,1,240,9,12
2019-10-04T01:00:00-04:00,6,0,114,6,1
2019-10-04T02:00:00-04:00,7,1,108,4,0
2019-10-04T03:00:00-04:00,1,0,74,0,0
2019-10-04T04:00:00-04:00,0,0,51,0,0
2019-10-04T05:00:00-04:00,2,0,136,3,3
2019-10-04T06:00:00-04:00,7,0,376,35,22
2019-10-04T07:00:00-04:00,104,14,1022,80,78
2019-10-04T08:00:00-04:00,40,8,1434,78,114
2019-10-04T09:00:00-04:00,111,33,1188,100,134
2019-10-04T10:00:00-04:00,168,44,826,95,101
2019-10-04T11:00:00-04:00,354,72,1039,58,120
2019-10-04T12:00:00-04:00,296,52,1299,69,79
2019-10-04T13:00:00-04:00,230,99,1073,54,73
2019-10-04T14:00:00-04:00,211,55,1135,51,83
2019-10-04T15:00:00-04:00,107,37,1292,54,82
2019-10-04T16:00:00-04:00,60,36,1735,70,86
2019-10-04T17:00:00-04:00,120,19,1745,76,63
2019-10-04T18:00:00-04:00,171,21,1316,92,32
2019-10-04T19:00:00-04:00,50,0,1092,37,15
2019-10-04T20:00:00-04:00,16,0,814,31,8
2019-10-04T21:00:00-04:00,13,0,634,30,7
2019-10-04T22:00:00-04:00,23,0,642,33,3
2019-10-04T23:00:00-04:00,16,0,579,27,3
2019-10-05T00:00:00-04:00,11,0,424,16,1
2019-10-05T01:00:00-04:00,12,0,303,13,2
2019-10-05T02:00:00-04:00,4,0,239,4,2
2019-10-05T03:00:00-04:00,0,0,100,5,3
2019-10-05T04:00:00-04:00,1,0,47,0,2
2019-10-05T05:00:00-04:00,0,0,60,0,0
2019-10-05T06:00:00-04:00,29,0,193,8,4
2019-10-05T07:00:00-04:00,46,1,368,20,22
2019-10-05T08:00:00-04:00,109,3,680,16,21
2019-10-05T09:00:00-04:00,108,6,870,26,29
2019-10-05T10:00:00-04:00,64,4,734,20,25
2019-10-05T11:00:00-04:00,140,19,763,28,10
2019-10-05T12:00:00-04:00,176,20,1055,29,38
2019-10-05T13:00:00-04:00,122,11,1059,15,18
2019-10-05T14:00:00-04:00,148,23,1162,23,26
2019-10-05T15:00:00-04:00,78,22,987,26,27
2019-10-05T16:00:00-04:00,87,7,950,21,27
2019-10-05T17:00:00-04:00,128,46,1280,31,26
2019-10-05T18:00:00-04:00,144,24,1424,53,18
2019-10-05T19:00:00-04:00,41,0,879,20,3
2019-10-05T20:00:00-04:00,16,0,594,14,7
2019-10-05T21:00:00-04:00,25,0,575,16,5
2019-10-05T22:00:00-04:00,12,0,615,20,3
2019-10-05T23:00:00-04:00,5,0,538,18,4
2019-10-06T00:00:00-04:00,19,0,316,8,6
2019-10-06T01:00:00-04:00,15,0,221,8,3
2019-10-06T02:00:00-04:00,37,0,176,9,2
2019-10-06T03:00:00-04:00,2,0,106,0,0
2019-10-06T04:00:00-04:00,1,0,38,0,1
2019-10-06T05:00:00-04:00,0,0,19,0,0
2019-10-06T06:00:00-04:00,15,0,64,1,2
2019-10-06T07:00:00-04:00,31,3,276,6,10
2019-10-06T08:00:00-04:00,76,4,413,8,12
2019-10-06T09:00:00-04:00,256,38,651,6,13
2019-10-06T10:00:00-04:00,49,8,619,12,15
2019-10-06T11:00:00-04:00,34,9,893,24,20
2019-10-06T12:00:00-04:00,65,18,802,25,16
2019-10-06T13:00:00-04:00,64,15,988,29,23
2019-10-06T14:00:00-04:00,48,3,878,28,14
2019-10-06T15:00:00-04:00,50,8,945,26,22
2019-10-06T16:00:00-04:00,58,8,853,30,29
2019-10-06T17:00:00-04:00,52,18,998,28,10
2019-10-06T18:00:00-04:00,86,8,980,37,16
2019-10-06T19:00:00-04:00,17,1,830,10,4
2019-10-06T20:00:00-04:00,3,0,716,5,4
2019-10-06T21:00:00-04:00,12,0,501,6,6
2019-10-06T22:00:00-04:00,8,0,374,8,3
2019-10-06T23:00:00-04:00,18,0,293,11,3
2019-10-07T00:00:00-04:00,4,0,144,3,3
2019-10-07T01:00:00-04:00,3,0,107,3,2
2019-10-07T02:00:00-04:00,7,0,58,1,0
2019-10-07T03:00:00-04:00,3,0,72,0,1
2019-10-07T04:00:00-04:00,0,0,52,0,0
2019-10-07T05:00:00-04:00,1,0,170,5,3
2019-10-07T06:00:00-04:00,13,0,357,21,20
2019-10-07T07:00:00-04:00,47,13,1291,78,73
2019-10-07T08:00:00-04:00,152,26,1684,100,93
2019-10-07T09:00:00-04:00,148,31,1503,108,114
2019-10-07T10:00:00-04:00,228,66,1094,93,89
2019-10-07T11:00:00-04:00,370,112,827,66,63
2019-10-07T12:00:00-04:00,344,103,920,74,87
2019-10-07T13:00:00-04:00,323,94,982,68,74
2019-10-07T14:00:00-04:00,229,50,934,62,79
2019-10-07T15:00:00-04:00,268,55,1241,76,78
2019-10-07T16:00:00-04:00,172,63,1560,82,81
2019-10-07T17:00:00-04:00,206,49,1674,82,65
2019-10-07T18:00:00-04:00,157,30,1502,89,37
2019-10-07T19:00:00-04:00,27,0,849,35,12
2019-10-07T20:00:00-04:00,17,0,750,13,8
2019-10-07T21:00:00-04:00,12,0,590,13,6
2019-10-07T22:00:00-04:00,16,2,504,26,2
2019-10-07T23:00:00-04:00,1,0,313,15,6
2019-10-08T00:00:00-04:00,6,0,171,14,4
2019-10-08T01:00:00-04:00,1,0,91,5,3
2019-10-08T02:00:00-04:00,12,0,67,4,2
2019-10-08T03:00:00-04:00,0,0,79,0,0
2019-10-08T04:00:00-04:00,0,0,50,1,8
2019-10-08T05:00:00-04:00,3,0,155,4,6
2019-10-08T06:00:00-04:00,13,0,356,22,14
2019-10-08T07:00:00-04:00,108,7,1291,85,95
2019-10-08T08:00:00-04:00,168,23,1762,93,83
2019-10-08T09:00:00-04:00,367,96,1429,113,122
2019-10-08T10:00:00-04:00,363,122,1119,89,94
2019-10-08T11:00:00-04:00,207,42,922,62,88
2019-10-08T12:00:00-04:00,512,100,1049,60,97
2019-10-08T13:00:00-04:00,451,119,1074,61,112
2019-10-08T14:00:00-04:00,220,33,983,70,86
2019-10-08T15:00:00-04:00,507,113,1305,83,111
2019-10-08T16:00:00-04:00,448,106,1577,93,72
2019-10-08T17:00:00-04:00,311,58,1847,83,70
2019-10-08T18:00:00-04:00,273,25,1618,81,46
2019-10-08T19:00:00-04:00,27,1,995,28,10
2019-10-08T20:00:00-04:00,20,1,704,21,5
2019-10-08T21:00:00-04:00,14,1,679,22,2
2019-10-08T22:00:00-04:00,16,0,481,18,7
2019-10-08T23:00:00-04:00,7,0,320,9,6
2019-10-09T00:00:00-04:00,8,0,195,10,6
2019-10-09T01:00:00-04:00,4,0,136,3,2
2019-10-09T02:00:00-04:00,7,0,65,2,0
2019-10-09T03:00:00-04:00,0,0,54,1,1
2019-10-09T04:00:00-04:00,0,0,27,0,1
2019-10-09T05:00:00-04:00,0,0,125,3,5
2019-10-09T06:00:00-04:00,12,0,322,18,16
2019-10-09T07:00:00-04:00,161,14,1222,89,89
2019-10-09T08:00:00-04:00,207,15,1579,112,110
2019-10-09T09:00:00-04:00,173,32,1389,107,99
2019-10-09T10:00:00-04:00,322,76,976,87,97
2019-10-09T11:00:00-04:00,510,123,909,65,116
2019-10-09T12:00:00-04:00,431,79,1020,62,80
2019-10-09T13:00:00-04:00,191,35,993,59,85
2019-10-09T14:00:00-04:00,244,43,897,56,71
2019-10-09T15:00:00-04:00,279,104,1334,61,91
2019-10-09T16:00:00-04:00,171,62,1606,76,108
2019-10-09T17:00:00-04:00,182,33,1827,76,91
2019-10-09T18:00:00-04:00,224,57,1593,78,29
2019-10-09T19:00:00-04:00,53,0,935,26,8
2019-10-09T20:00:00-04:00,20,1,697,19,12
2019-10-09T21:00:00-04:00,8,0,652,16,11
2019-10-09T22:00:00-04:00,5,0,531,22,9
2019-10-09T23:00:00-04:00,11,0,344,14,8
2019-10-10T00:00:00-04:00,15,0,210,7,5
2019-10-10T01:00:00-04:00,6,0,127,4,2
2019-10-10T02:00:00-04:00,10,0,59,1,3
2019-10-10T03:00:00-04:00,0,0,66,0,0
2019-10-10T04:00:00-04:00,0,0,48,0,4
2019-10-10T05:00:00-04:00,2,0,169,5,4
2019-10-10T06:00:00-04:00,24,0,384,25,14
2019-10-10T07:00:00-04:00,162,6,1111,75,101
2019-10-10T08:00:00-04:00,201,24,1557,100,100
2019-10-10T09:00:00-04:00,144,22,1334,102,117
2019-10-10T10:00:00-04:00,207,45,728,85,89
2019-10-10T11:00:00-04:00,97,22,601,62,82
2019-10-10T12:00:00-04:00,219,50,1036,63,57
2019-10-10T13:00:00-04:00,133,29,998,54,84
2019-10-10T14:00:00-04:00,105,26,1023,64,91
2019-10-10T15:00:00-04:00,186,103,1233,57,88
2019-10-10T16:00:00-04:00,125,63,1565,64,75
2019-10-10T17:00:00-04:00,180,16,1983,84,72
2019-10-10T18:00:00-04:00,290,74,1736,78,43
2019-10-10T19:00:00-04:00,51,1,1092,29,18
2019-10-10T20:00:00-04:00,42,0,791,28,12
2019-10-10T21:00:00-04:00,32,0,611,18,5
2019-10-10T22:00:00-04:00,14,1,538,20,5
2019-10-10T23:00:00-04:00,20,0,365,14,5
2019-10-11T00:00:00-04:00,12,0,222,8,4
2019-10-11T01:00:00-04:00,11,0,171,1,2
2019-10-11T02:00:00-04:00,8,0,93,1,0
2019-10-11T03:00:00-04:00,0,0,81,1,1
2019-10-11T04:00:00-04:00,0,0,55,0,3
2019-10-11T05:00:00-04:00,4,0,177,10,5
2019-10-11T06:00:00-04:00,28,0,373,24,12
2019-10-11T07:00:00-04:00,165,28,991,76,79
2019-10-11T08:00:00-04:00,56,7,1510,87,110
2019-10-11T09:00:00-04:00,109,24,1159,91,109
2019-10-11T10:00:00-04:00,205,32,792,86,107
2019-10-11T11:00:00-04:00,278,78,846,66,88
2019-10-11T12:00:00-04:00,268,25,1135,60,96
2019-10-11T13:00:00-04:00,140,25,1170,53,68
2019-10-11T14:00:00-04:00,162,72,1163,48,61
2019-10-11T15:00:00-04:00,109,54,1277,48,63
2019-10-11T16:00:00-04:00,66,43,1751,60,80
2019-10-11T17:00:00-04:00,116,7,1876,63,66
2019-10-11T18:00:00-04:00,188,13,1323,82,40
2019-10-11T19:00:00-04:00,31,0,1004,37,8
2019-10-11T20:00:00-04:00,28,0,682,23,6
2019-10-11T21:00:00-04:00,28,2,586,30,10
2019-10-11T22:00:00-04:00,15,0,717,28,5
2019-10-11T23:00:00-04:00,7,0,443,23,7
2019-10-12T00:00:00-04:00,11,2,346,19,1
2019-10-12T01:00:00-04:00,11,0,225,13,3
2019-10-12T02:00:00-04:00,4,0,194,7,3
2019-10-12T03:00:00-04:00,2,0,93,1,2
2019-10-12T04:00:00-04:00,2,0,72,0,3
2019-10-12T05:00:00-04:00,0,0,53,1,0
2019-10-12T06:00:00-04:00,7,0,137,6,1
2019-10-12T07:00:00-04:00,49,0,357,19,13
2019-10-12T08:00:00-04:00,60,3,609,19,23
2019-10-12T09:00:00-04:00,215,86,828,20,26
2019-10-12T10:00:00-04:00,216,102,693,26,23
2019-10-12T11:00:00-04:00,174,37,624,31,27
2019-10-12T12:00:00-04:00,173,24,1020,32,32
2019-10-12T13:00:00-04:00,128,14,1025,29,20
2019-10-12T14:00:00-04:00,52,12,889,36,31
2019-10-12T15:00:00-04:00,104,18,921,27,24
2019-10-12T16:00:00-04:00,101,18,973,44,32
2019-10-12T17:00:00-04:00,140,22,902,49,23
2019-10-12T18:00:00-04:00,76,13,801,58,14
2019-10-12T19:00:00-04:00,30,1,734,23,4
2019-10-12T20:00:00-04:00,16,0,588,21,4
2019-10-12T21:00:00-04:00,15,0,487,24,5
2019-10-12T22:00:00-04:00,13,0,440,26,5
2019-10-12T23:00:00-04:00,8,0,408,19,5
2019-10-13T00:00:00-04:00,13,0,257,15,2
2019-10-13T01:00:00-04:00,15,1,231,19,6
2019-10-13T02:00:00-04:00,4,0,134,8,3
2019-10-13T03:00:00-04:00,4,0,100,0,1
2019-10-13T04:00:00-04:00,0,0,28,0,0
2019-10-13T05:00:00-04:00,0,0,38,0,0
2019-10-13T06:00:00-04:00,3,0,60,0,5
2019-10-13T07:00:00-04:00,47,0,164,6,2
2019-10-13T08:00:00-04:00,49,3,222,7,4
2019-10-13T09:00:00-04:00,98,1,336,13,10
2019-10-13T10:00:00-04:00,118,9,557,20,16
2019-10-13T11:00:00-04:00,99,12,671,21,13
2019-10-13T12:00:00-04:00,111,6,824,32,16
2019-10-13T13:00:00-04:00,70,9,843,24,20
2019-10-13T14:00:00-04:00,119,17,886,22,23
2019-10-13T15:00:00-04:00,81,14,819,24,17
2019-10-13T16:00:00-04:00,96,16,814,23,15
2019-10-13T17:00:00-04:00,126,12,842,31,13
2019-10-13T18:00:00-04:00,109,14,856,36,7
2019-10-13T19:00:00-04:00,16,0,680,9,10
2019-10-13T20:00:00-04:00,6,0,669,6,4
2019-10-13T21:00:00-04:00,8,0,518,3,2
2019-10-13T22:00:00-04:00,9,0,517,11,2
2019-10-13T23:00:00-04:00,7,0,320,2,1
2019-10-14T00:00:00-04:00,4,0,183,2,4
2019-10-14T01:00:00-04:00,0,0,147,6,0
2019-10-14T02:00:00-04:00,5,0,75,2,0
2019-10-14T03:00:00-04:00,0,0,67,0,0
2019-10-14T04:00:00-04:00,0,0,47,0,1
2019-10-14T05:00:00-04:00,1,0,142,3,2
2019-10-14T06:00:00-04:00,18,0,351,14,16
2019-10-14T07:00:00-04:00,136,3,1134,72,98
2019-10-14T08:00:00-04:00,62,8,1392,75,97
2019-10-14T09:00:00-04:00,116,20,1131,88,101
2019-10-14T10:00:00-04:00,177,24,726,89,82
2019-10-14T11:00:00-04:00,256,60,715,51,83
2019-10-14T12:00:00-04:00,173,53,897,58,58
2019-10-14T13:00:00-04:00,114,33,1068,55,74
2019-10-14T14:00:00-04:00,176,52,953,56,81
2019-10-14T15:00:00-04:00,159,92,1198,43,55
2019-10-14T16:00:00-04:00,69,43,1446,53,47
2019-10-14T17:00:00-04:00,159,21,1557,61,46
2019-10-14T18:00:00-04:00,187,22,1367,68,30
2019-10-14T19:00:00-04:00,22,0,882,23,19
2019-10-14T20:00:00-04:00,24,0,736,19,8
2019-10-14T21:00:00-04:00,14,0,706,22,5
2019-10-14T22:00:00-04:00,26,0,476,20,6
2019-10-14T23:00:00-04:00,11,0,326,17,4
2019-10-15T00:00:00-04:00,14,0,179,9,3
2019-10-15T01:00:00-04:00,4,0,117,4,3
2019-10-15T02:00:00-04:00,9,0,49,2,0
2019-10-15T03:00:00-04:00,0,0,78,1,2
2019-10-15T04:00:00-04:00,0,0,62,0,4
2019-10-15T05:00:00-04:00,1,0,167,6,5
2019-10-15T06:00:00-04:00,16,0,362,20,20
2019-10-15T07:00:00-04:00,143,7,1119,80,78
2019-10-15T08:00:00-04:00,88,10,1532,75,91
2019-10-15T09:00:00-04:00,156,32,1401,92,117
2019-10-15T10:00:00-04:00,186,31,652,81,88
2019-10-15T11:00:00-04:00,141,22,564,63,65
2019-10-15T12:00:00-04:00,288,60,881,59,66
2019-10-15T13:00:00-04:00,180,48,800,55,84
2019-10-15T14:00:00-04:00,82,7,811,60,72
2019-10-15T15:00:00-04:00,216,92,1200,70,96
2019-10-15T16:00:00-04:00,85,21,1608,58,69
2019-10-15T17:00:00-04:00,172,25,1900,85,88
2019-10-15T18:00:00-04:00,264,56,1573,74,35
2019-10-15T19:00:00-04:00,35,0,862,30,14
2019-10-15T20:00:00-04:00,30,1,683,14,5
2019-10-15T21:00:00-04:00,22,0,646,23,6
2019-10-15T22:00:00-04:00,6,0,467,25,11
2019-10-15T23:00:00-04:00,10,0,354,9,4
2019-10-16T00:00:00-04:00,11,0,246,8,8
2019-10-16T01:00:00-04:00,3,0,156,4,5
